ID,gender,strain, the number of alive littermates,birth parity,the year-season at birth,lg,birth weight ,AGE,BF
17133,2,1,2,1,413,1,1.2,154.8301547,12.73298429
17167,2,18,1,1,413,2,1.3,140.2467308,13.69929478
17118,2,18,3,1,413,3,1.2,141.842907,12.25982555
17132,2,1,1,1,413,4,1.7,159.0369512,15.92613408
17205,2,31,2,1,413,5,1.7,149.5611287,11.03705754
17224,2,31,1,1,413,6,1.4,129.9730357,10.36363636
17117,2,18,3,1,413,3,1.4,164.3287931,11.91538781
17151,2,42,1,1,413,7,1.6,146,13.1
17096,2,30,2,1,413,8,1.2,163.926236,11.56212922
17166,2,18,2,1,413,9,1.1,137.6159346,13.0643765
17204,2,42,1,1,413,10,1.6,139.1453922,14.14156497
17116,2,18,3,1,413,3,1.5,139.6740909,16.1264568
17165,2,18,1,1,413,2,1.4,137.6159346,13.81628306
17203,2,31,1,1,413,11,1.4,132.4013636,16.67622237
17202,2,31,1,1,413,12,1.6,132.4013636,13.46925653
17115,2,18,3,1,413,3,1.4,137.6827936,18.59330269
17201,2,31,2,1,413,5,1.3,136.4959524,13.38832576
17164,2,18,2,1,413,9,1.5,140.2467308,14.18166432
17181,2,18,2,1,413,13,1.1,155.0343182,12.01773399
3048,2,30,2,1,413,8,1.3,147.6589497,13.9784992
17114,2,18,1,1,413,14,1.2,139.0976087,20.66730955
17095,2,31,1,1,413,15,1.4,139.2226923,9.521037646
17163,2,18,2,1,413,9,1.1,138.2640054,11.6697101
17200,2,42,1,1,413,10,1.6,136.694304,13.00660823
17162,2,18,2,1,413,9,1.4,142.2499057,15.45280665
17180,2,18,2,1,413,16,1.5,151.2413158,13.09842972
17199,2,31,2,1,413,5,1.2,149.0008481,11.7175668
17131,2,1,2,1,413,1,1.2,146.9721429,10.51939881
17130,2,1,1,1,413,4,1.5,150.954604,14.17051793
17198,2,31,1,1,413,11,1.3,134.4373214,12.9770751
17161,2,18,2,1,413,9,1,148.305672,13.5371083
17094,2,31,1,1,413,15,1.6,140.8367391,11.60887175
17103,2,30,2,1,413,17,1,155.9720265,13.01404682
17093,2,30,2,1,413,8,1.4,139.8616437,11.75931232
17102,2,30,2,1,413,17,1.1,158.4827083,9.030045524
17092,2,30,2,1,413,8,1.2,152.0424319,10.04305061
17091,2,30,2,1,413,8,0.9,156.6535787,12.36953863
17129,2,18,1,1,413,18,1.1,154.7330894,13.70029674
17101,2,30,1,1,413,19,1.1,150.6232534,10.59345301
3056,2,18,1,1,413,14,1.2,155.6383503,16.22234575
17113,2,18,1,1,413,14,1.1,163.7377917,15.5817283
17112,2,18,1,1,413,14,1.4,149.8621154,15.43582511
17197,2,31,1,1,413,12,1.8,137.6100549,12.45313554
17178,2,18,2,1,413,16,1,160.0703672,10.3919951
17150,2,42,1,1,413,7,1.3,156.0428826,10.33437619
17128,2,1,2,1,413,1,1,165.771103,10.4186348
17111,2,18,3,1,413,3,1,157.0991564,15.39384846
17110,2,18,1,1,413,14,1.4,147.2444283,18.28083348
17109,2,18,1,1,413,14,1.4,143.6010885,19.12968204
17149,2,42,1,1,413,7,1.6,150.7912475,9.782123313
17127,2,18,1,1,413,18,1.2,146.8721159,14.58694824
