ID,parity, year-season at birth,TNB,NBA, litter weight at birth
3071,1,314,14,12,14.5
3147,1,314,13,13,18.8
3139,1,414,16,15,19.8
3283,1,415,20,15,17.5
3199,1,415,18,17,16.4
3174,1,415,13,12,17.1
3223,1,415,15,9,14.2
3167,1,415,15,9,10
3162,1,415,15,13,17.5
3175,1,415,12,12,16.3
3059,1,415,17,13,16.2
3327,1,415,16,14,16.3
3171,1,415,18,18,23.6
3118,1,415,6,4,5.1
3299,1,415,8,7,8.7
3110,1,415,13,13,12.2
3178,1,415,20,17,15.6
3107,1,415,13,11,14.4
3176,1,415,14,11,15.4
3187,1,415,13,13,15.7
3105,1,415,13,11,16.1
3132,1,415,18,17,20.2
3108,1,415,16,13,16.5
3100,1,415,15,12,17.7
3185,1,415,13,11,15.9
3261,1,415,11,11,13.1
3279,1,415,16,14,13.1
3112,1,415,16,14,15.3
3146,1,415,18,14,17.4
3137,1,415,15,13,18.6
3120,1,415,8,4,4.9
3125,1,415,16,12,17.5
3104,1,415,17,15,20.3
3145,1,415,16,16,19.9
3290,1,415,10,10,14.3
3192,1,415,19,10,8.4
3267,1,415,15,13,18.8
3091,1,415,17,17,20.5
3333,1,415,14,14,16.9
3117,1,415,12,12,21.3
3103,1,415,9,9,15
3153,1,415,5,5,7.5
3213,1,415,15,9,12.7
3297,1,415,13,10,11.5
3183,1,415,13,12,11.8
3315,1,415,6,4,6.1
3194,1,415,15,11,10.6
3266,1,415,8,7,11
3319,1,415,16,12,17.7
3260,1,415,13,11,16.3
3296,1,415,15,13,26.1
3080,1,415,12,11,14.7
3259,1,415,7,7,11
3111,1,415,16,15,24.7
3286,1,415,15,15,19.4
3114,1,415,10,10,12.3
3246,1,415,14,10,13.4
3195,1,415,14,10,9.7
3243,1,415,5,5,7.3
3220,1,415,13,12,15.7
3343,1,415,11,11,13.6
3049,1,415,9,6,9.3
3106,1,415,10,10,13.3
3351,1,415,5,4,6.8
3350,1,415,14,13,18.5
3370,1,415,11,10,14.4
3269,1,415,17,12,15.3
3402,1,415,8,8,11.9
3101,1,415,9,9,14.4
3409,1,415,8,8,10.7
3371,1,415,15,13,15.6
3413,1,415,14,14,17.3
3406,1,415,14,13,14.3
3201,1,415,13,11,15.5
3426,1,115,14,14,18.5
3102,1,415,22,14,14.8
3376,1,415,14,14,16.9
3339,1,415,12,12,13.9
3425,1,415,15,12,14.1
3393,1,415,16,15,16
3387,1,415,16,13,14.6
3067,1,415,10,10,15.9
3427,1,415,12,10,10.8
3366,1,415,13,11,15.8
3258,1,415,12,11,12.9
3367,1,415,12,12,16.2
3218,1,415,17,14,20
3320,1,415,12,11,19.7
3396,1,415,12,12,14.7
3421,1,415,19,14,15.4
3301,1,415,18,11,9.7
3435,1,415,10,10,11.1
3398,1,415,12,12,19.3
3321,1,415,17,14,16.6
3289,1,415,18,16,16.7
3355,1,415,14,13,17.7
3429,1,415,12,12,13.5
3224,1,415,7,6,10.1
3428,1,115,14,13,14.1
3445,1,115,12,12,16.1
3403,1,115,16,13,16.9
3407,1,115,12,10,12.8
3138,1,115,4,4,6.8
3391,1,115,12,5,5.8
3386,1,115,12,9,12
3408,1,115,13,13,7.1
3166,1,115,15,15,17.7
3441,1,115,11,10,15.2
3450,1,115,16,13,14.5
3395,1,115,14,13,15.9
3252,1,115,16,15,20.5
3180,1,115,8,7,9
3390,1,115,19,19,18
3442,1,115,18,15,19.8
3211,1,115,17,15,13.7
3341,1,415,13,13,14.2
3419,1,115,17,15,17.2
3186,1,415,22,16,16.3
3420,1,415,13,12,12.5
3200,1,415,16,15,13.5
3191,1,415,18,15,20.7
3340,1,415,10,10,9.9
3331,1,415,14,11,9
3149,1,415,16,13,17.1
3389,1,415,19,15,18.8
3401,1,415,17,13,14.1
3184,1,415,12,10,12.4
3364,1,415,16,14,16.5
3060,1,415,6,6,8.1
3177,1,415,17,14,19.6
3444,1,415,12,11,13.4
3392,1,415,15,14,13
3346,1,115,21,19,14.5
3452,1,115,16,15,19
3397,1,115,10,10,11.4
3098,1,115,17,17,20.7
3494,1,115,15,15,20.8
3495,1,115,14,13,19.4
3488,1,115,17,16,19.1
3399,1,115,14,12,13.2
3245,1,415,12,12,15.7
3482,1,115,19,19,19.2
3217,1,115,13,13,12.2
3071,2,115,22,18,18.7
3383,1,115,10,9,16.9
3438,1,115,14,9,11.5
3477,1,115,21,18,20.6
3535,1,115,7,6,9.5
3436,1,115,14,12,15.2
3538,1,115,3,3,4.7
3451,1,115,10,9,9.4
3487,1,115,15,12,16.2
3147,2,115,16,16,21.7
3479,1,115,14,14,16.5
3378,1,115,18,16,18.7
3485,1,115,5,5,12.1
3507,1,115,17,15,19.3
3491,1,115,15,13,13.1
3497,1,115,13,10,15.9
3534,1,115,11,8,11
3648,1,115,15,14,18.6
3685,1,115,16,15,15.5
3465,1,115,14,13,17.1
3483,1,115,15,14,16.9
3470,1,115,10,10,13.8
3322,1,115,14,14,20.6
3499,1,115,13,10,10.7
3536,1,115,5,5,7.9
3589,1,115,12,12,18.2
3400,1,115,12,10,17.5
3681,1,115,13,12,15.6
3496,1,115,9,9,12.4
3476,1,115,16,14,19.4
3404,1,115,14,12,16.9
3554,1,115,16,15,18.2
